ICR,Race,TwoBlocks
14006493,Black,1
14006893,Black,1
14006900,Black,1
14006926,Black,1
14006928,Black,1
14006948,Black,1
14007223,Black,1
14007546,Black,1
14007840,Black,1
14007892,Black,1
14007985,Black,1
14008054,Black,1
14008105,Black,1
14008121,Black,1
14008530,Black,1
14008788,Black,1
14008811,Black,1
14008964,Black,1
14008979,Black,1
14008995,Black,1
14009006,Black,1
14009172,Black,1
14009191,Black,1
14009252,Black,1
14010099,Black,1
14010504,Black,1
14010527,Black,1
14010560,Black,1
14010689,Black,1
14010770,Black,1
14011074,Black,1
14011226,Black,1
14011477,Black,1
14011781,Black,1
14011964,Black,1
14012096,Black,1
14012187,Black,1
15000077,Black,1
15000151,Black,1
15000315,Black,1
15000479,Black,1
15000503,Black,1
15000656,Black,1
15000748,Black,1
15000762,Black,1
15000778,Black,1
15000828,Black,1
15000841,Black,1
15000858,Black,1
15001004,Black,1
15001296,Black,1
15001322,Black,1
15001338,Black,1
15001498,Black,1
15001557,Black,1
15001607,Black,1
15001628,Black,1
15001674,Black,1
15001744,Black,1
15002115,Black,1
15002244,Black,1
15002394,Black,1
15002439,Black,1
15002640,Black,1
15002665,Black,1
15002732,Black,1
15002787,Black,1
15002811,Black,1
15002906,Black,1
15003407,Black,1
15003426,Black,1
15003756,Black,1
15003784,Black,1
15003812,Black,1
15004112,Black,1
15004254,Black,1
15004314,Black,1
15004322,Black,1
15004989,Black,1
15005347,Black,1
15005359,Black,1
15005521,Black,1
15005571,Black,1
15005659,Black,1
15005940,Black,1
15006080,Black,1
15006275,Black,1
15006556,Black,1
15006788,Black,1
15006995,Black,1
15007058,Black,1
15007083,Black,1
15007250,Black,1
15007275,Black,1
15007304,Black,1
15007345,Black,1
15007377,Black,1
15007386,Black,1
15007543,Black,1
15007579,Black,1
15007594,Black,1
15007810,Black,1
15007875,Black,1
15007880,Black,1
15008115,Black,1
15008286,Black,1
15008433,Black,1
15008822,Black,1
15008896,Black,1
15009048,Black,1
15009050,Black,1
15009193,Black,1
15009314,Black,1
15009334,Black,1
15009616,Black,1
15010062,Black,1
15010185,Black,1
15010224,Black,1
15010262,Black,1
15010266,Black,1
15010282,Black,1
15010345,Black,1
15010583,Black,1
15010730,Black,1
15011084,Black,1
15011157,Black,1
15011214,Black,1
15011281,Black,1
15011364,Black,1
15011954,Black,1
15012160,Black,1
15012201,Black,1
15012311,Black,1
15012380,Black,1
15012784,Black,1
16000048,Black,1
16000108,Black,1
16000131,Black,1
16000330,Black,1
16000532,Black,1
16000829,Black,1
16001114,Black,1
16001183,Black,1
16001187,Black,1
16001195,Black,1
16001280,Black,1
16001345,Black,1
16001355,Black,1
16001573,Black,1
16001705,Black,1
16001938,Black,1
16001941,Black,1
16002168,Black,1
16002174,Black,1
16002570,Black,1
16002636,Black,1
16002683,Black,1
16002969,Black,1
16003004,Black,1
16003030,Black,1
16003036,Black,1
16003099,Black,1
16003185,Black,1
16003279,Black,1
16003298,Black,1
16003527,Black,1
16003539,Black,1
16003633,Black,1
16003649,Black,1
16003658,Black,1
16003746,Black,1
16003785,Black,1
16003801,Black,1
16004217,Black,1
16004223,Black,1
16004234,Black,1
16004313,Black,1
16004322,Black,1
16004491,Black,1
16004495,Black,1
16004535,Black,1
16004608,Black,1
16004693,Black,1
16004762,Black,1
16004916,Black,1
16004921,Black,1
16005044,Black,1
16005219,Black,1
16005284,Black,1
16005341,Black,1
16005376,Black,1
14006285,White,1
14006518,White,1
14006633,White,1
14006686,White,1
14006831,White,1
14006885,White,1
14006911,White,1
14006950,White,1
14007440,White,1
14007528,White,1
14008016,White,1
14008550,White,1
14008888,White,1
14009016,White,1
14009475,White,1
14009789,White,1
14009822,White,1
14010291,White,1
14010332,White,1
14010481,White,1
14010718,White,1
14011311,White,1
14011313,White,1
14011327,White,1
14011366,White,1
14011459,White,1
14011759,White,1
14011821,White,1
15000033,White,1
15000079,White,1
15000089,White,1
15000583,White,1
15000695,White,1
15001005,White,1
15001106,White,1
15001251,White,1
15001315,White,1
15001436,White,1
15001459,White,1
15001460,White,1
15001520,White,1
15001540,White,1
15001623,White,1
15001769,White,1
15001931,White,1
15002434,White,1
15002482,White,1
15002884,White,1
15002920,White,1
15002951,White,1
15003174,White,1
15003443,White,1
15003604,White,1
15003789,White,1
15003935,White,1
15004399,White,1
15004935,White,1
15005168,White,1
15005439,White,1
15005663,White,1
15006238,White,1
15006430,White,1
15006542,White,1
15006780,White,1
15007103,White,1
15007139,White,1
15007153,White,1
15007420,White,1
15007421,White,1
15007602,White,1
15007741,White,1
15007744,White,1
15007762,White,1
15007999,White,1
15008017,White,1
15008076,White,1
15008078,White,1
15008178,White,1
15008275,White,1
15008285,White,1
15008406,White,1
15008442,White,1
15008520,White,1
15008647,White,1
15008838,White,1
15008845,White,1
15008888,White,1
15008892,White,1
15009055,White,1
15009192,White,1
15009216,White,1
15009461,White,1
15009686,White,1
15009802,White,1
15010145,White,1
15010401,White,1
15010652,White,1
15010737,White,1
15010860,White,1
15011252,White,1
15011828,White,1
15011833,White,1
15011856,White,1
15012110,White,1
15012182,White,1
15012338,White,1
15012772,White,1
16000103,White,1
16000252,White,1
16000382,White,1
16000440,White,1
16000491,White,1
16000534,White,1
16000571,White,1
16000651,White,1
16000888,White,1
16001105,White,1
16001283,White,1
16001617,White,1
16001959,White,1
16002265,White,1
16002313,White,1
16002315,White,1
16002366,White,1
16002408,White,1
16002614,White,1
16002680,White,1
16003200,White,1
16003224,White,1
16003248,White,1
16003375,White,1
16003387,White,1
16003460,White,1
16003464,White,1
16003994,White,1
16004181,White,1
16004235,White,1
16004509,White,1
16004544,White,1
16004873,White,1
16004883,White,1
16004981,White,1
16005104,White,1
16005283,White,1
16005583,White,1
16005593,White,1
16000003,Black,0
16000003,Black,0
16000003,Black,0
16000014,Black,0
16000016,Black,0
16000026,Black,0
16000028,Black,0
16000023,Black,0
16000048,Black,0
16000049,Black,0
16000050,Black,0
16000070,Black,0
16000108,Black,0
16000114,Black,0
16000122,Black,0
16000131,Black,0
16000137,Black,0
16000157,Black,0
16000162,Black,0
16000162,Black,0
16000163,Black,0
16000186,Black,0
16000242,Black,0
16000244,Black,0
16000261,Black,0
16000277,Black,0
16000280,Black,0
16000145,Black,0
16000324,Black,0
16000330,Black,0
16000368,Black,0
16000384,Black,0
16000398,Black,0
16000403,Black,0
16000404,Black,0
16000413,Black,0
16000431,Black,0
16000465,Black,0
16000473,Black,0
16000499,Black,0
16000503,Black,0
16000529,Black,0
16000532,Black,0
16000567,Black,0
16000570,Black,0
16000585,Black,0
16000343,Black,0
16000593,Black,0
16000608,Black,0
16000655,Black,0
16000659,Black,0
16000666,Black,0
16000685,Black,0
16000725,Black,0
16000796,Black,0
16000799,Black,0
16000809,Black,0
16000829,Black,0
16000831,Black,0
16000864,Black,0
16000865,Black,0
16000868,Black,0
16000869,Black,0
16000920,Black,0
16000948,Black,0
16000953,Black,0
16000954,Black,0
16000960,Black,0
16001072,Black,0
16001080,Black,0
16001097,Black,0
16001114,Black,0
16001138,Black,0
16001148,Black,0
16001165,Black,0
16001174,Black,0
16001183,Black,0
16001187,Black,0
16001191,Black,0
16001195,Black,0
16001196,Black,0
16001207,Black,0
16001252,Black,0
16001280,Black,0
16001312,Black,0
16001313,Black,0
16001334,Black,0
16001334,Black,0
16001339,Black,0
16001345,Black,0
16001353,Black,0
16001355,Black,0
16001359,Black,0
16001379,Black,0
16001395,Black,0
16001399,Black,0
16001417,Black,0
16001450,Black,0
16001474,Black,0
16001488,Black,0
16001544,Black,0
16001547,Black,0
16001560,Black,0
16001565,Black,0
16001573,Black,0
16001575,Black,0
16001608,Black,0
16001615,Black,0
16001641,Black,0
16001645,Black,0
16001648,Black,0
16001648,Black,0
16001658,Black,0
16001677,Black,0
16001681,Black,0
16001692,Black,0
16001705,Black,0
16001707,Black,0
16001716,Black,0
16001719,Black,0
16001730,Black,0
16001740,Black,0
16001751,Black,0
16001793,Black,0
16001801,Black,0
16001817,Black,0
16001827,Black,0
16001829,Black,0
