ICR,Race,TwoBlocks
14006305,Black,1
14007377,Black,1
14007690,Black,1
14007905,Black,1
14008128,Black,1
14009185,Black,1
14009233,Black,1
14009510,Black,1
14010324,Black,1
14011016,Black,1
14011089,Black,1
14011229,Black,1
14011364,Black,1
14011706,Black,1
14011844,Black,1
15000202,Black,1
15000246,Black,1
15000654,Black,1
15000972,Black,1
15002904,Black,1
15002931,Black,1
15002933,Black,1
15002988,Black,1
15003314,Black,1
15003460,Black,1
15003959,Black,1
15004731,Black,1
15004973,Black,1
15005372,Black,1
15005399,Black,1
15005489,Black,1
15005632,Black,1
15006411,Black,1
15007029,Black,1
15007187,Black,1
15007913,Black,1
15007938,Black,1
15008276,Black,1
15008524,Black,1
15008530,Black,1
15009379,Black,1
15009393,Black,1
15009559,Black,1
15009730,Black,1
15009949,Black,1
15010016,Black,1
15010239,Black,1
15011159,Black,1
15011630,Black,1
15011857,Black,1
15012051,Black,1
16000029,Black,1
16000046,Black,1
16000715,Black,1
16001311,Black,1
16001558,Black,1
16002420,Black,1
16002827,Black,1
16003228,Black,1
16003582,Black,1
16004320,Black,1
16004555,Black,1
16004559,Black,1
16004572,Black,1
16005359,Black,1
16005390,Black,1
14006276,White,1
14006287,White,1
14006374,White,1
14006418,White,1
14006699,White,1
14006775,White,1
14006776,White,1
14006821,White,1
14006841,White,1
14006882,White,1
14007736,White,1
14007744,White,1
14007780,White,1
14007834,White,1
14007853,White,1
14007860,White,1
14007861,White,1
14007864,White,1
14008305,White,1
14008382,White,1
14008535,White,1
14008571,White,1
14008594,White,1
14008597,White,1
14008641,White,1
14008843,White,1
14008958,White,1
14009150,White,1
14009162,White,1
14009168,White,1
14009252,White,1
14009324,White,1
14009336,White,1
14009461,White,1
14009509,White,1
14009531,White,1
14009796,White,1
14009869,White,1
14009871,White,1
14009917,White,1
14009949,White,1
14010085,White,1
14010092,White,1
14010287,White,1
14010294,White,1
14010331,White,1
14010336,White,1
14010484,White,1
14010591,White,1
14010601,White,1
14010612,White,1
14010707,White,1
14010847,White,1
14010871,White,1
14010938,White,1
14011084,White,1
14011098,White,1
14011227,White,1
14011232,White,1
14011324,White,1
14011361,White,1
14011407,White,1
14011499,White,1
14011616,White,1
14011682,White,1
14011710,White,1
14011730,White,1
14011841,White,1
14012105,White,1
14012140,White,1
15000227,White,1
15000331,White,1
15000658,White,1
15000694,White,1
15000906,White,1
15000944,White,1
15000982,White,1
15001092,White,1
15001093,White,1
15001272,White,1
15001273,White,1
15001445,White,1
15001576,White,1
15001655,White,1
15001839,White,1
15001840,White,1
15001853,White,1
15002016,White,1
15002130,White,1
15002201,White,1
15002409,White,1
15002456,White,1
15002615,White,1
15002625,White,1
15002717,White,1
15002718,White,1
15002903,White,1
15002983,White,1
15003153,White,1
15003161,White,1
15003175,White,1
15003380,White,1
15003544,White,1
15003833,White,1
15003890,White,1
15003992,White,1
15004128,White,1
15004140,White,1
15004153,White,1
15004171,White,1
15004360,White,1
15004875,White,1
15004883,White,1
15004891,White,1
15005092,White,1
15005380,White,1
15005382,White,1
15005487,White,1
15005582,White,1
15005626,White,1
15005672,White,1
15005676,White,1
15005942,White,1
15005980,White,1
15006149,White,1
15006367,White,1
15006376,White,1
15006521,White,1
15006534,White,1
15006697,White,1
15007313,White,1
15007383,White,1
15007402,White,1
15007406,White,1
15007517,White,1
15007573,White,1
15007581,White,1
15007711,White,1
15007728,White,1
15007729,White,1
15007895,White,1
15008077,White,1
15008146,White,1
15008195,White,1
15008274,White,1
15008427,White,1
15008432,White,1
15008507,White,1
15008513,White,1
15008635,White,1
15008917,White,1
15009035,White,1
15009078,White,1
15009113,White,1
15009170,White,1
15009399,White,1
15009457,White,1
15009459,White,1
15009510,White,1
15009657,White,1
15009701,White,1
15009735,White,1
15009796,White,1
15009798,White,1
15009868,White,1
15009945,White,1
15010001,White,1
15010199,White,1
15010218,White,1
15010804,White,1
15010906,White,1
15011099,White,1
15011113,White,1
15011140,White,1
15011243,White,1
15011556,White,1
15011629,White,1
15011873,White,1
15011907,White,1
15012279,White,1
15012323,White,1
15012329,White,1
15012330,White,1
16000195,White,1
16000196,White,1
16000243,White,1
16000462,White,1
16000723,White,1
16000739,White,1
16001202,White,1
16001260,White,1
16001473,White,1
16001525,White,1
16001546,White,1
16001746,White,1
16001753,White,1
16002237,White,1
16002249,White,1
16002397,White,1
16002400,White,1
16002439,White,1
16002615,White,1
16002678,White,1
16002855,White,1
16003027,White,1
16003157,White,1
16003247,White,1
16003410,White,1
16003975,White,1
16004063,White,1
16004100,White,1
16004185,White,1
16004197,White,1
16004273,White,1
16004337,White,1
16004458,White,1
16004481,White,1
16004739,White,1
16004863,White,1
16005138,White,1
16005144,White,1
16005267,White,1
16005275,White,1
16005276,White,1
16005361,White,1
16005363,White,1
16005403,White,1
16005482,White,1
16005573,White,1
16005610,White,1
16005644,White,1
16000003,Black,0
16000005,Black,0
16000013,Black,0
16000029,Black,0
16000045,Black,0
16000046,Black,0
16000062,Black,0
16000073,Black,0
16000184,Black,0
16000268,Black,0
16000410,Black,0
16000482,Black,0
16000483,Black,0
16000560,Black,0
16000680,Black,0
16000681,Black,0
16000689,Black,0
16000701,Black,0
16000715,Black,0
16000717,Black,0
16000827,Black,0
16000897,Black,0
16001173,Black,0
16001229,Black,0
16001295,Black,0
16001306,Black,0
16001307,Black,0
16001308,Black,0
16001311,Black,0
16001350,Black,0
16001409,Black,0
16001508,Black,0
16001515,Black,0
16001529,Black,0
16001538,Black,0
16001558,Black,0
16001627,Black,0
16001776,Black,0
16001881,Black,0
16001887,Black,0
16001964,Black,0
16001966,Black,0
16001993,Black,0
16002049,Black,0
16002084,Black,0
16002121,Black,0
16002146,Black,0
16002206,Black,0
16002213,Black,0
16002270,Black,0
16002321,Black,0
16002355,Black,0
16002391,Black,0
16002403,Black,0
16002420,Black,0
16002468,Black,0
16002492,Black,0
16002504,Black,0
16002531,Black,0
16002558,Black,0
16002648,Black,0
16002651,Black,0
16002672,Black,0
16002714,Black,0
16002784,Black,0
16002794,Black,0
16002827,Black,0
16002857,Black,0
16002893,Black,0
16002911,Black,0
16002920,Black,0
16003006,Black,0
16003051,Black,0
16003061,Black,0
16003101,Black,0
16003106,Black,0
16003169,Black,0
16003210,Black,0
16003228,Black,0
